Hakusana	Sanaluokat	count
lähes	adverbi	186447
kova	adjektiivi, substantiivi	185400
usea	pronomini	183307
kymmenen	numeraali	183036
voitto	substantiivi	182979
mukana	adverbi, postpositio	181813
viimeinen	adjektiivi, substantiivi	181146
kasvaa	verbi	181019
saattaa	verbi	179309
vastata	verbi	176274
viedä	verbi	175583
näyttää	verbi	175258
hakea	verbi	174463
viisi	numeraali, substantiivi	173960
tila	substantiivi	173254
vaikuttaa	verbi	172958
vaan	konjunktio, adverbi	171436
ajaa	verbi	169229
maksaa	verbi	168328
tulos	substantiivi	167334
epäillä	verbi	166047
aiemmin	adverbi	166016
työntekijä	substantiivi	165557
aiheuttaa	verbi	165376
kyllä	adverbi	165315
seurata	verbi	164774
puhua	verbi	162301
enää	adverbi	162259
vasta	substantiivi, adverbi	161889
löytää	verbi	159633
jatkua	verbi	159585
henkilö	substantiivi	159007
näkyä	verbi	158643
ongelma	substantiivi	158026
kevät	substantiivi	157984
perjantai	substantiivi	157859
pelaaja	substantiivi	157346
vuoksi	substantiivi, postpositio	156585
tänään	adverbi	155991
kello	substantiivi	155020
valita	verbi	154076
siirtyä	verbi	153786
syntyä	verbi	153587
näin	adverbi	153386
entinen	adjektiivi	153343
juuri	substantiivi, adverbi	153268
edelleen	adverbi	153239
vaikea	adjektiivi	150934
tapaus	substantiivi	150760
takia	postpositio	150717
sellainen	adjektiivi	150495
maanantai	substantiivi	150362
keskusta	substantiivi	150115
lisää	adverbi	150044
elämä	substantiivi	148955
yhtiö	substantiivi	148717
kautta	postpositio, prepositio	148415
nostaa	verbi	148008
vähän	adverbi	147536
kisa	substantiivi	145534
ihan	adverbi	145314
toivoa	verbi	144938
lauantai	substantiivi	144654
jättää	verbi	144600
esittää	verbi	144302
johtaa	verbi	143806
muutama	pronomini	143285
syksy	substantiivi	142991
vesi	substantiivi	142671
tapahtuma	substantiivi	142634
mahdollisuus	substantiivi	141525
yrittää	verbi	139741
johtaja	substantiivi	138553
ilman	prepositio, adverbi	138027
seuraava	adjektiivi, substantiivi	137602
kolmas	numeraali	137078
kuten	adverbi, konjunktio	136037
torstai	substantiivi	135885
joukko	substantiivi	135877
tiistai	substantiivi	135464
raha	substantiivi	134843
keskiviikko	substantiivi	134656
tehtävä	substantiivi	134232
kuukausi	substantiivi	133603
muutos	substantiivi	133171
juttu	substantiivi	132526
muuttaa	verbi	132319
perhe	substantiivi	132311
tavoite	substantiivi	132072
käsi	substantiivi	132040
kuolla	verbi	131852
ainakin	adverbi	131676
kyse	substantiivi	131285
osallistua	verbi	130614
matka	substantiivi	130566
kannattaa	verbi	129908
asiakas	substantiivi	129800
nimi	substantiivi	129355
yhteys	substantiivi	128082
selvittää	verbi	128032
silloin	adverbi	127706
palvelu	substantiivi	127243
pari	substantiivi*	126924
väli	substantiivi	126888
tutkia	verbi	125811
laskea	verbi	125447
taas	adverbi	125433
kirjoittaa	verbi	124967
sunnuntai	substantiivi	124864
yhä	adverbi	124667
kansainvälinen	adjektiivi, substantiivi	124493
onnistua	verbi	123953
yliopisto	substantiivi	122878
apu	substantiivi	122737
tutkimus	substantiivi	122534
aikoa	verbi	121401
siellä	adverbi	121116
pois	adverbi	120309
palata	verbi	120012
puolue	substantiivi	119709
tie	substantiivi	119474
päättyä	verbi	119247
erilainen	adjektiivi	118793
kuitenkaan	adverbi	118726
avata	verbi	118656
korkea	adjektiivi, substantiivi	118640
ilmoittaa	verbi	118634
jatko	substantiivi	118352
riittää	verbi*	117964
asti	adverbi	117772
piste	substantiivi	117763
suunnitella	verbi	117673
kokea	verbi	117614
toimitusjohtaja	substantiivi	117431
tarkoitus	substantiivi	116750
alle	postpositio, prepositio, adverbi	116728
tarjota	verbi	116574
koskea	verbi	116297
hinta	substantiivi	116029
kuusi	substantiivi, numeraali	116025
sata	numeraali	115084
uutinen	substantiivi	115043
välillä	postpositio, adverbi	114770
sopimus	substantiivi	114395
todella	adverbi	114189
oikeus	substantiivi	113964
nykyinen	adjektiivi	113616
muuttua	verbi	113210
pyrkiä	verbi	113173
kauppa	substantiivi	112657
myöntää	verbi	112089
tunti	substantiivi	111993
tuntua	verbi	111719
valtio	substantiivi	111543
sijaita	verbi	110685
tulevaisuus	substantiivi	110624
jakaa	verbi	110318
usein	adverbi	110166
valmis	adjektiivi, substantiivi	110051
asua	verbi	109234
joten	adverbi	108621
kysymys	substantiivi	108435
kilpailu	substantiivi	108248
kiinni	adverbi	107589
metri	substantiivi	107075
auttaa	verbi	106988
hoitaa	verbi	106914
keskustelu	substantiivi	106815
minuutti	substantiivi	106655
kuinka	adverbi	106015
areena	substantiivi	105412
kerätä	verbi	105221
tarkoittaa	verbi	104986
julkaista	verbi	104610
kuvata	verbi	104137
talo	substantiivi	103912
myydä	verbi	103093
muistuttaa	verbi	102945
liikenne	substantiivi	102785
asukas	substantiivi	102703
tuhat	numeraali	102551
tällainen	adjektiivi, substantiivi	101798
jokainen	pronomini	101571
pohtia	verbi	101393
sulkea	verbi	101061
pää	substantiivi	100405
tuki	substantiivi	100171
sarja	substantiivi	100143
elokuva	substantiivi	99914
miettiä	verbi	99542
ehkä	adverbi	99489
rakennus	substantiivi	99229
ääni	substantiivi	99189
ura	substantiivi	99008
saapua	verbi	98821
tuleva	adjektiivi, substantiivi	98499
kehittää	verbi	98478
EU	substantiivi	98357
ratkaisu	substantiivi	98274
heti	adverbi	97758
kohta	substantiivi, adverbi	97267
pysyä	verbi	97013
seura	substantiivi	96872
joku	pronomini	96806
yhteensä	adverbi	96271
tulo	substantiivi	95929
niisi	substantiivi	95858
käsitellä	verbi	95249
kilometri	substantiivi	94997
pidetä	verbi	94899
peruste	substantiivi	94898
kulua	verbi	94776
sopia	verbi	94695
raja	substantiivi*	94502
kestää	verbi	94483
media	substantiivi	94375
sairaala	substantiivi	94322
poika	substantiivi	94203
huono	adjektiivi	94199
musiikki	substantiivi	94147
pääministeri	substantiivi	93920
edetä	verbi	93367
erityisesti	adverbi	93106
ostaa	verbi	92874
jotta	konjunktio	92696
kohdata	verbi	92636
koti	substantiivi	92448
kuulla	verbi	92393
ajatella	verbi	92302
helppo	adjektiivi	92133
etsiä	verbi	92057
talous	substantiivi	90952
ryhmä	substantiivi	90837
jälleen	adverbi	90502
erittäin	adverbi*	90278
vaikutus	substantiivi	89884
liian	adverbi	89660
kysyä	verbi	89357
tuntea	verbi	89135
urheilu	substantiivi	89135
tukea	verbi	89018
yö	substantiivi	88570
täällä	adverbi	88540
video	substantiivi	88329
lähettää	verbi	88124
perustaa	verbi	88049
pelastuslaitos	substantiivi	87859
mennessä	postpositio	87462
ohjelma	substantiivi	87375
aihe	substantiivi	87348
liikkua	verbi	87166
ettei	alistuskonjunktio, kieltoverbi	87081
keskustella	verbi	86979
tutkija	substantiivi	86833
siirtää	verbi	86649
oikea	adjektiivi, substantiivi	86202
tarve	substantiivi	86149
hieman	adverbi	85928
laittaa	verbi	85878
asiantuntija	substantiivi	85804
yhdessä	adverbi	85668
nopeasti	adverbi	85564
loukkaantua	verbi	85422
edessä	postpositio, adverbi	85415
pyytää	verbi	85314
ero	substantiivi	85272
taso	substantiivi	84972
elää	verbi	84825
myöhemmin	adverbi	84773
laaja	adjektiivi	84607
hyväksyä	verbi	84398
osata	verbi	84052
ilta	substantiivi	83674
kukaan	pronomini	83485
esitys	substantiivi	83380
lähellä	prepositio, postpositio, adverbi	83219
elokuu	substantiivi	82804
kulkea	verbi	82761
vahva	adjektiivi	82734
kokemus	substantiivi	82683
opiskelija	substantiivi	82427
äiti	substantiivi	82324
yleisö	substantiivi	82298
kesäkuu	substantiivi	82288
kunto	substantiivi	81866
kuunnella	verbi	81115
aivan	adverbi	81114
erä	substantiivi	80988
paras	adjektiivi	80948
vaihe	substantiivi	80936
siis	adverbi	80897
johto	substantiivi	80780
saakka	adverbi	80618
lupa	substantiivi	80518
eniten	adverbi	80421
valmistua	verbi	80339
käytäntö	substantiivi	80276
läpi	adverbi, postpositio, prepositio, substantiivi	80245
hanke	substantiivi	79561
täysin	adverbi	79419
selvitä	verbi	79408
asunto	substantiivi	79406
merkittävä	adjektiivi	79309
toimittaja	substantiivi	79087
voima	substantiivi	78802
miksi	adverbi	78657
laki	substantiivi*	78434
kanta	substantiivi	78370
pitkään	adverbi	78255
seitsemän	numeraali	78238
työskennellä	verbi	78141
kasvu	substantiivi	78049
edellinen	adjektiivi	78030
lopettaa	verbi	77980
sinä	pronomini	77901
päävalmentaja	substantiivi	77882
hoito	substantiivi	77822
talvi	substantiivi	77191
jäsen	substantiivi	77044
samalla	adverbi	77040
ymmärtää	verbi	77028
esiintyä	verbi	77011
kansanedustaja	substantiivi	76964
tammikuu	substantiivi	76316
kuka	pronomini	76273
suunta	substantiivi	76251
tuottaa	verbi	76247
vähentää	verbi	76027
täytyä	verbi	75958
huolimatta	postpositio, prepositio	75936
korjata	verbi	75757
osoittaa	verbi	75686
toukokuu	substantiivi	75425
tuttu	adjektiivi, substantiivi	75380
oy	substantiivi	75087
suunnitelma	substantiivi	74938
liiga	substantiivi	74715
silti	adverbi	74698
paha	adjektiivi, substantiivi	74583
nopea	adjektiivi	74491
asema	substantiivi	74045
eduskunta	substantiivi	73923
takaisin	adverbi	73667
kommentoida	verbi	73625
parantaa	verbi	73618
ehtiä	verbi	73606
heinäkuu	substantiivi	73541
metsä	substantiivi	73500
edes	adverbi	73424
sota	substantiivi	73210
syyskuu	substantiivi	73181
huomio	substantiivi	73102
perussuomalainen	adjektiivi, substantiivi	72999
lopulta	adverbi	72982
ajatus	substantiivi	72939
vahvistaa	verbi	72726
tekijä	substantiivi	72612
kärsiä	verbi	72495
yrittäjä	substantiivi	71999
laji	substantiivi	71815
kohde	substantiivi	71753
haastattelu	substantiivi	71087
ala	substantiivi	70938
varmasti	adverbi	70458
verrata	verbi	70321
puuttua	verbi	70320
marraskuu	substantiivi	70219
työpaikka	substantiivi	70219
kahdeksan	numeraali	70204
maakunta	substantiivi	70200
tausta	substantiivi	70169
aiempi	adjektiivi	70141
lokakuu	substantiivi	70022
suora	adjektiivi, substantiivi	69857
ulos	adverbi	69826
lääkäri	substantiivi	69646
jolloin	adverbi	69587
historia	substantiivi	69566
tiedote	substantiivi	69421
luoda	verbi	69322
vai	konjunktio	69304
vaali	substantiivi	69007
juhlia	verbi	68985
yhteinen	adjektiivi	68840
istua	verbi	68755
kohti	adverbi, postpositio, prepositio	68441
kokous	substantiivi	68337
kenttä	substantiivi	68077
lisääntyä	verbi	67977
arvio	substantiivi	67949
joulukuu	substantiivi	67880
tuore	adjektiivi	67855
koira	substantiivi	67587
vetää	verbi	67535
parempi	adjektiivi	67402
puu	substantiivi	67371
ruoka	substantiivi	67309
koskaan	adverbi	66983
helmikuu	substantiivi	66978
herättää	verbi	66899
toteuttaa	verbi	66817
yleensä	adverbi	66784
isä	substantiivi	66748
tartunta	substantiivi	66491
kirja	substantiivi	66261
myötä	adverbi, postpositio	66113
lehti	substantiivi	66061
huomata	verbi	65969
muistaa	verbi	65899
päätyä	verbi	65200
etenkin	adverbi	65164
kappale	substantiivi	65136
potilas	substantiivi	65109
tosi	adjektiivi, adverbi, substantiivi	65038
julkinen	adjektiivi, substantiivi	65003
tuomita	verbi	64991
yleinen	adjektiivi	64989
tehdas	substantiivi	64857
oppilas	substantiivi	64716
sattua	verbi	64706
tekeminen	substantiivi	64553
levitä	verbi	64522
alla	postpositio, adverbi	64508
tarina	substantiivi	64388
huhtikuu	substantiivi	64377
kuu	substantiivi	64284
tavata	verbi*	64257
verran	postpositio, adverbi	64240
onnettomuus	substantiivi	64141
uhri	substantiivi	63800
puhe	substantiivi	63764
asettaa	verbi	63740
iskeä	verbi	63528
sähkö	substantiivi	63510
valmentaja	substantiivi	63463
vaihtoehto	substantiivi	63245
soittaa	verbi	63206
vastaus	substantiivi	62932
kirkko	substantiivi	62902
rooli	substantiivi	62683
finaali	substantiivi	62456
myynti	substantiivi	62394
hankkia	verbi	62336
koulutus	substantiivi	62191
siksi	adverbi	62082
joki	substantiivi	61999
keskittyä	verbi	61976
kokoomus	substantiivi	61945
tunne	substantiivi	61838
vähemmän	adverbi	61837
nousu	substantiivi	61817
varten	postpositio	61705
kutsua	verbi	61547
sosiaalinen	adjektiivi	61502
äänestää	verbi	61440
ehdokas	substantiivi	61250
viikonloppu	substantiivi	61104
paikallinen	adjektiivi, substantiivi	61058
oppia	verbi	61051
yhtä	adverbi	60989
estää	verbi	60931
hieno	adjektiivi	60883
viettää	verbi	60608
vihreä	adjektiivi, substantiivi	60530
poliittinen	adjektiivi	60286
opettaja	substantiivi	60266
venäläinen	adjektiivi, substantiivi	60231
reilu	adjektiivi	60224
aamu	substantiivi	60193
tuote	substantiivi	60098
mestari	substantiivi	60056
kierros	substantiivi	59991
lumi	substantiivi	59783
jalkapallo	substantiivi	59541
viranomainen	substantiivi	59523
aikuinen	adjektiivi, substantiivi	59372
vieras	adjektiivi, substantiivi	59362
lähtien	postpositio	59324
ravintola	substantiivi	59316
takana	postpositio, adverbi	59046
selvitys	substantiivi	58996
teko	substantiivi	58839
paremmin	adverbi	58714
ainoa	adjektiivi	58706
kieli	substantiivi	58704
menettää	verbi	58698
perinteinen	adjektiivi, substantiivi	58680
merkitys	substantiivi	58441
valtuusto	substantiivi	58386
selvä	adjektiivi	58346
sana	substantiivi	58280
täyttää	verbi	58202
pian	adverbi	58163
tyttö	substantiivi	58134
uhata	verbi	57948
vakava	adjektiivi	57758
vauhti	substantiivi	57690
jääkiekko	substantiivi	57620
purkaa	verbi	57477
kone	substantiivi	57420
toimi	substantiivi	57287
urheilija	substantiivi	57261
edustaja	substantiivi	57103
vaihtaa	verbi	57004
jää	substantiivi	56927
viesti	substantiivi	56924
kuljettaja	substantiivi	56887
ohjata	verbi	56674
vastuu	substantiivi	56620
suoraan	adverbi	56409
kysely	substantiivi	56342
havaita	verbi	56118
ovi	substantiivi	56020
toistaiseksi	adverbi	56015
hävitä	verbi	55990
keino	substantiivi	55950
kaatua	verbi	55787
kuvituskuva	substantiivi	55754
luku	substantiivi	55717
tiukka	adjektiivi, substantiivi	55579
osuus	substantiivi	55332
huoli	substantiivi	55308
syödä	verbi	55216
neuvottelu	substantiivi	55177
edustaa	verbi	55112
ratkaista	verbi	54976
tavallinen	adjektiivi	54894
miljardi	numeraali	54822
lähde	substantiivi	54797
selvästi	adverbi	54656
molemmat	pronomini	54616
poistaa	verbi	54567
kadota	verbi	54562
liitto	substantiivi	54537
alkaen	postpositio, prepositio	54526
neljäs	numeraali	54448
isku	substantiivi	54120
seutu	substantiivi	54086
yhdistää	verbi	54035
eteenpäin	adverbi	54020
ensin	adverbi	54010
sisään	postpositio, adverbi	53999
tuotanto	substantiivi	53842
omistaja	substantiivi	53616
luonto	substantiivi	53584
riski	substantiivi, adjektiivi	53464
mestaruus	substantiivi	53361
kesken	adverbi, postpositio, prepositio	53260
radio	substantiivi	53164
professori	substantiivi	52743
arki	substantiivi	52657
henki	substantiivi	52619
liike	substantiivi	52479
tarkka	adjektiivi	52357
luvata	verbi	52269
rikos	substantiivi	52190
arvo	substantiivi	52134
ohi	adverbi, postpositio, prepositio	51999
kaikkiaan	adverbi	51918
syyttää	verbi	51907
kaupunginhallitus	substantiivi	51859
katu	substantiivi	51775
eläin	substantiivi	51659
puolesta	postpositio	51659
kiinnostaa	verbi	51494
verkko	substantiivi	51272
kokonaan	adverbi	51258
esitellä	verbi	51229
johtua	verbi	51137
pudota	verbi	51051
teos	substantiivi	50923
sairaanhoitopiiri	substantiivi	50870
malli	substantiivi	50728
muuten	adverbi	50587
joskus	adverbi	50564
vuo	substantiivi	50563
linja	substantiivi	50526
käynti	substantiivi	50508
mä	pronomini	50348
pallo	substantiivi	50344
kuvailla	verbi	50060
lukio	substantiivi	50044
poikkeuksellinen	adjektiivi	49990
suhde	substantiivi	49923
avoin	adjektiivi	49920
tuomio	substantiivi	49864
päälle	postpositio, adverbi	49853
kari	substantiivi	49843
tappio	substantiivi	49523
erityinen	adjektiivi	49466
todennäköisesti	adverbi	49370
lasku	substantiivi	49200
taistella	verbi	49077
kieltää	verbi	49044
oikein	adverbi	49002
korostaa	verbi	48852
loppua	verbi	48814
valinta	substantiivi	48788
sisällä	adverbi, postpositio	48774
yllättää	verbi	48730
vuosikymmen	substantiivi	48705
lähetys	substantiivi	48475
kortti	substantiivi	48470
harjoitus	substantiivi	48397
rikkoa	verbi	48254
vapaa	adjektiivi, substantiivi	47961
sinne	adverbi	47822
ranta	substantiivi	47746
aste	substantiivi	47672
ystävä	substantiivi	47599
toisaalta	adverbi	47582
sekunti	substantiivi	47575
saavuttaa	verbi	47522
sija	substantiivi	47498
jalka	substantiivi	47493
kaivata	verbi	47466
kaataa	verbi	47388
varmistaa	verbi	47327
uudelleen	adverbi	47183
pohjoinen	substantiivi, adjektiivi	47146
millainen	adjektiivi	47116
kasvattaa	verbi	47047
luopua	verbi	46959
suhtautua	verbi	46941
lippu	substantiivi	46928
energia	substantiivi	46768
perustua	verbi	46767
yhdeksän	numeraali	46738
laitos	substantiivi	46697
ympäri	postpositio, prepositio, adverbi	46514
kovin	adverbi	46414
lyhyt	adjektiivi	46382
vierailla	verbi	46374
kuolema	substantiivi	46229
vastaava	adjektiivi, substantiivi	46228
valmistaa	verbi	46196
normaali	adjektiivi, substantiivi	46173
turvallisuus	substantiivi	45909
pohja	substantiivi	45895
heikko	adjektiivi	45838
kaupunginjohtaja	substantiivi	45815
vaihto	substantiivi	45802
meno	substantiivi	45768
perustella	verbi	45764
toteutua	verbi	45723
lista	substantiivi	45581
päiväkoti	substantiivi	45446
korvata	verbi	45381
kantaa	verbi	45309
silmä	substantiivi	45234
ulkomaa	substantiivi	45147
tyytyväinen	adjektiivi	45119
mikäli	konjunktio	45113
haaste	substantiivi	45076
ampua	verbi	45015
punainen	adjektiivi, substantiivi	44926
ympäristö	substantiivi	44920
joulu	substantiivi	44882
piha	substantiivi	44840
törkeä	adjektiivi	44654
esiin	adverbi	44643
iltapäivä	substantiivi	44570
määrätä	verbi	44509
koronavirus	substantiivi	44433
kustannus	substantiivi	44402
järjestö	substantiivi	44284
seuraus	substantiivi	44210
vastustaa	verbi	44172
suosittu	adjektiivi	44140
perua	verbi	44100
pankki	substantiivi	44031
päällä	postpositio, adverbi	43923
rinne	substantiivi	43859
rahoitus	substantiivi	43813
puhelin	substantiivi	43606
käsittely	substantiivi	43526
lyödä	verbi	43488
runsas	adjektiivi	43416
turvapaikanhakija	substantiivi	43165
henkilökunta	substantiivi	43014
sivu	substantiivi, postpositio, prepositio, adverbi	43000
tietty	adjektiivi	42986
kärki	substantiivi	42905
kohdistua	verbi	42837
kotona	adverbi	42720
varsinkin	adverbi	42646
nykyään	adverbi	42637
välttämättä	adverbi	42580
heittää	verbi	42415
tunnettu	adjektiivi	42375
korona	substantiivi	42357
yksityinen	adjektiivi, substantiivi	42318
kunnanjohtaja	substantiivi	42282
kommentti	substantiivi	42189
terveys	substantiivi	42048
kulttuuri	substantiivi	42026
saari	substantiivi	42018
hyvinvointialue	substantiivi	41916
jakso	substantiivi	41881
omistaa	verbi	41841
auki	adverbi	41836
kilpailla	verbi	41787
osua	verbi	41714
kehittyä	verbi	41615
tuolloin	adverbi	41601
kotimainen	adjektiivi	41600
kehitys	substantiivi	41536
parhaillaan	adverbi	41408
kaveri	substantiivi	41382
ryhtyä	verbi	41319
paljastaa	verbi	41315
valtava	adjektiivi	41226
valmistautua	verbi	41213
kylä	substantiivi	41162
leijona	substantiivi	41133
raskas	adjektiivi	40998
yksittäinen	adjektiivi	40979
maajoukkue	substantiivi	40924
valo	substantiivi	40901
politiikka	substantiivi	40786
lento	substantiivi*, adverbi	40728
katsella	verbi	40692
nauttia	verbi	40692
harjoitella	verbi	40616
ikä	substantiivi	40597
palkka	substantiivi	40572
eilen	adverbi	40482
suomi	substantiivi	40462
sotilas	substantiivi	40387
varautua	verbi	40383
kotka	substantiivi	40377
markkinat	substantiivi	40301
keskellä	adverbi, postpositio	40293
uudistus	substantiivi	40291
tietysti	adverbi	40286
syyttäjä	substantiivi	40285
positiivinen	adjektiivi	40262
turnaus	substantiivi	40210
sijoittua	verbi	40197
syyte	substantiivi	40124
tutkinta	substantiivi	40089
kansalainen	substantiivi	40056
toki	adverbi	40026
armeija	substantiivi	40020
palko	substantiivi	39700
kokonaisuus	substantiivi	39644
merkki	substantiivi	39638
avu	substantiivi	39627
rata	substantiivi	39623
täysi	adjektiivi, substantiivi	39588
tiedottaa	verbi	39587
vastustaja	substantiivi	39545
seisoa	verbi	39479
pelastaa	verbi	39325
ilmoitus	substantiivi	39309
yksikkö	substantiivi	39283
kuljettaa	verbi	39265
kokeilla	verbi	39246
maalivahti	substantiivi	39218
yhdistys	substantiivi	39173
testata	verbi	39130
teatteri	substantiivi	39082
toimittaa	verbi	39070
henkilöstö	substantiivi	38994
ylittää	verbi	38970
opiskella	verbi	38901
hyökkäys	substantiivi	38838
kanna	substantiivi	38831
hyödyntää	verbi	38821
maailmancup	substantiivi	38756
varata	verbi	38700
juosta	verbi	38661
kokoontua	verbi	38619
museo	substantiivi	38612
tutustua	verbi	38588
netti	substantiivi	38587
kansa	substantiivi	38567
helposti	adverbi	38475
ministeri	substantiivi	38422
viides	numeraali	38412
harvinainen	adjektiivi	38404
seurakunta	substantiivi	38398
taloudellinen	adjektiivi	38338
virhe	substantiivi	38319
vaara	substantiivi*	38287
julkisuus	substantiivi	38180
lintu	substantiivi	38127
voittaja	substantiivi	38017
valkoinen	adjektiivi, substantiivi	37994
tunnistaa	verbi	37990
katsoja	substantiivi	37950
sää	substantiivi	37947
koota	verbi	37897
aikataulu	substantiivi	37874
kehottaa	verbi	37842
palkita	verbi	37786
helpottaa	verbi	37722
ehto	substantiivi	37681
säästö	substantiivi	37672
vähetä	verbi	37670
suosio	substantiivi	37663
torjua	verbi	37660
ase	substantiivi	37571
keskussairaala	substantiivi	37571
mielenosoitus	substantiivi	37520
palkinto	substantiivi	37360
varsinainen	adjektiivi	37346
aikaisemmin	adverbi	37267
keltainen	adjektiivi, substantiivi	37147
sieltä	adverbi	37107
hankala	adjektiivi	37063
matkustaja	substantiivi	36939
maaliskuu	substantiivi	36896
hallita	verbi	36878
ilma	substantiivi	36877
luokka	substantiivi*	36865
vanhus	substantiivi	36657
vaarallinen	adjektiivi	36613
säilyä	verbi	36611
pääosa	substantiivi	36446
ruotsalainen	adjektiivi, substantiivi	36387
sanoma	substantiivi	36372
opetus	substantiivi	36361
rajoitus	substantiivi	36355
irtisanoa	verbi	36275
lämmin	adjektiivi, substantiivi	36211
teksti	substantiivi	36198
olo	substantiivi	36173
rokote	substantiivi	36111
cup	substantiivi	36110
poistua	verbi	36093
kysyntä	substantiivi	36091
kertyä	verbi	36089
puolustaa	verbi	36079
tähti	substantiivi	36065
katto	substantiivi	36026
juhla	substantiivi	36021
yksin	adverbi	36015
palauttaa	verbi	36004
rajoittaa	verbi	35961
ennätys	substantiivi	35959
voimakas	adjektiivi	35917
vuosittain	adverbi	35905
muualla	adverbi	35819
käynnistyä	verbi	35764
taistelu	substantiivi	35737
